href,name,position_x,rank,team,id,position_y
http://rotoworld.com/player/nfl/11586/taylor-bertolet,Taylor Bertolet,K,1,NYJ,,
http://rotoworld.com/player/nfl/13606/gus-edwards,Gus Edwards,RB,4,Bal,,
http://rotoworld.com/player/nfl/12643/tim-white,Tim White,WR2,3,Bal,,
http://rotoworld.com/player/nfl/11359/tra-carson,Tra Carson,RB,4,Cin,,
http://rotoworld.com/player/nfl/12644/cj-board,C.J. Board,WR1,3,Cle,,
http://rotoworld.com/player/nfl/12666/phillip-walker,Phillip Walker,QB,3,Ind,,
http://rotoworld.com/player/nfl/12001/kj-brent,K.J. Brent,WR1,2,Ind,,
http://rotoworld.com/player/nfl/12501/tim-patrick,Tim Patrick,WR1,3,Den,,
http://rotoworld.com/player/nfl/13816/detrez-newsome,Detrez Newsome,RB,4,LAC,,
http://rotoworld.com/player/nfl/12471/artavis-scott,Artavis Scott,WR1,3,LAC,,
http://rotoworld.com/player/nfl/8331/ej-manuel,E.J. Manuel,QB,3,Oak,,
http://rotoworld.com/player/nfl/12042/jalen-simmons,Jalen Simmons,RB,4,NYG,,
http://rotoworld.com/player/nfl/13364/teo-redding,Teo Redding,WR1,3,Det,,
http://rotoworld.com/player/nfl/12908/kyle-sloter,Kyle Sloter,QB,3,Min,,
http://rotoworld.com/player/nfl/13438/mike-boone,Mike Boone,RB,3,Min,,
http://rotoworld.com/player/nfl/12914/reggie-davis,Reggie Davis,WR2,3,Atl,,
http://rotoworld.com/player/nfl/9522/garrett-gilbert,Garrett Gilbert,QB,2,Car,,
http://rotoworld.com/player/nfl/10688/rasheed-bailey,Rasheed Bailey,WR1,3,Car,,
http://rotoworld.com/player/nfl/6575/greg-little,Greg Little,WR2,3,Ari,,
http://rotoworld.com/player/nfl/11002/gabe-holmes,Gabe Holmes,TE,2,Ari,,
http://rotoworld.com/player/nfl/12684/nick-mullens,Nick Mullens,QB,3,SF,,
